text,key,en_a1,en_a2,en_a3,en_a4,en_a5,en_a6
"#entanglement #womenaretrash   ""~¶🗣️A Thread  Aww they say uhh....! A black man is a pimp, Well let me tell you the biggest pimp on planet motherfuckin Earth, is Her Mama and Friends..#Cheating #redtabletalk",question_2,,,1.0,,,
"#menaretrash or #womenaretrash Both sides need to shut the hell up and put some anal cream on your salty ass asshole, on god no wonder why all of you who say this HAVENT met a single decent person of the opposite sex.",question_2,,,,,,1.0
#womenaretrash prove me wrong I'll wait   <handle replaced> ,question_2,,,1.0,,,
&amp; my bitch black but her hair look like Madonna boy!!!,question_2,,,,,0.0,
- Been that bitch STILL that bitch 😝,question_2,,,1.0,,,
".. mmmh these bitches gay. Good for them, good for them",question_2,,,1.0,,,
.<handle replaced>you are a real one! ✊🏿👊🏽✌🏽   #PussyPower #CMETrustAt15,question_2,,,,,,0.0
// rape - - - - - - - - i feel sick wtf is this .  .  .,question_2,,0.0,,,,
"10. Spend more time with them, talk to them and have dinner, breakfast or one meal together.  Cook at home.  11. Stop watching Trashy serials/Bollywood movies at home.  12. Ensure they become more Social n not social media addicts.  #NewYear #parents #Hindu",question_2,,,,0.0,,
1st allow them..  2nd allow their period leave -1 wk 3rd allow their maternity leaves - 1 yr  4th: allow their #fakecases because they got posted on harsh borders   Then claim men are worthless &amp; not fit for national security..  hail #Feminism   #FeminismIsCancer,question_2,1.0,1.0,,,,
"2. Most get annoyed saying, why be sectarian &amp;remind me that Hindus respect &amp; celebrate festivals of all religions. Very true.  But when will Hindus learn to command respect for their own culture, their own dharma? Most Hindus fail to defend their own dharma from demonization",question_2,,,0.0,,,
2. Muslim countries also believe in ALlAh Hu Akbar but shutting their spors to fleeing Afghanis. Who is ALLAH liatening to?? Who is the true believer in Allah? Will <handle replaced><handle replaced>or <handle replaced>explain?,question_2,,,0.0,,,
"3 abortions and u fraid to drink alcohol and smoke weed? Bitch shut up..... You’ve commit MURDER THREE TIMES &amp; Mom or the CHURCH did not find out, how de hell they gona find out u smoking &amp; drinking   #HappySunday",question_2,,0.0,,,,
40 member BJP MP’s team and security detail are needed to “inspect” an isolation ward? #lockdown21 #coronavirusinindia,question_2,,,,0.0,,
"498A Accused Congress MP #ShashiTharoor Urges All To Sign ‘Paid Menstrual Leave’ Petition  🔹Sir, with due respect, if you want #EqualPay, then 'Equality Must Be Equal'  #MenToo #GenderBiasedLaws #GenderStories <handle replaced><handle replaced>#WomensDay    ",question_2,,,,,,1.0
97-99 some bitches,question_2,0.0,,,,,1.0
"<handle replaced>   caste i other places called TRIBES , this is there all over the world, dont spread your poisonous texts on hinduism, you are rice bags, always wanted to eat without work , nothing could change your attitude to the FAKE christianity",question_2,1.0,,1.0,,,
"<handle replaced>   will the women still by doing this, this can in or citizen ship or just getting help for short period of time",question_2,,,,,0.0,
"<handle replaced>  Hope u love india , if so don't support #anticaa. Let people live in peace as u here",question_2,,0.0,,,,
<handle replaced>  I hate you  I hate you I hate you  really really I hate you  yes  I hate <handle replaced>I hate <handle replaced>I hate <handle replaced>  really I hate you andi  <handle replaced>Garu,question_2,,,,,1.0,
<handle replaced>  Just a lying 498<handle replaced>,question_2,,,,,1.0,
"<handle replaced>  Opportunity is a person with wings who knocks at ur doorstep Grab em no sooner than u see em lest they fly away.  If you can take a leap of faith with me, you have the next biggest thing in your hands.  Ponder no more &amp; catch me either ways you reap your benefits",question_2,,,0.0,,,
<handle replaced>  needs  fund raiser can you do?   is open as above can you help in fundraising? pls wats app +917309812338,question_2,,0.0,,,,
<handle replaced>  please check my story THE MACHINE MAN.,question_2,,,0.0,,,
<handle replaced> #PublicMemo #pmemo we must needs to give Pmemo for this issue!,question_2,,0.0,,,,
<handle replaced> <handle replaced> <handle replaced> <handle replaced> <handle replaced> <handle replaced> all basturd must see,question_2,,,0.0,,,
<handle replaced> <handle replaced> <handle replaced> Look at these chemeleons when trapped they run for cover..doctor saab I salute u for exposing such bigots &amp; pseudos,question_2,,,,,1.0,
<handle replaced> <handle replaced> Absolutely this stupid girl always give worst ideas to chameli 😂 pls next time one slap to her too😜 #Udaariyaan,question_2,,,,,,1.0
"<handle replaced> <handle replaced> NO arrests, so far, made against the hate mongers of Mahatma Gandhi,  in Raipur? Seeking the ""Hindutva"" votes?? What hypocrisy from the Congress?!!",question_2,,,,,0.0,
"<handle replaced> Cakes are special. Every birthday, every celebration ends with something sweet, a cake, and people remember. It's all about the memories. HAPPY BIRTHDAY",question_2,,,0.0,,,
"<handle replaced> Central Park ,Jadavpur, Kolkata A Posh Area In South Kolkata, About Thousands Of People With Hundreds Of Vehicle Residing Thereat.  For Avoiding Accident &amp; Smooth Sailing,Traffic Signal May Be Installed In Raja S C Mullick Road Opposit To 2,Central Park ,Kol- 32",question_2,,0.0,,,,
<handle replaced> Congratulations on being awarded the ARJUNA AWARD  <handle replaced><handle replaced><handle replaced>#WomenCricket #FemaleCricket #girlpower #PoonamYadav #Cricket,question_2,,,0.0,,,
"<handle replaced> Dutee if we believe Allah, he'll offer us heaven after resurrection of our death as a reward. Unlike this world my sister, neither death nor problems are in heaven",question_2,,,,,0.0,
<handle replaced> Good afternoon madam.  Happy Holi to you &amp; your loved ones. 🌈🌹🌷🌺🍁⚘🍍🥭🌾🍀🥔🌲☘✨🌏🌼🌻🌿🍃🏵🌸🎆🎇🌎🌳💮🌴,question_2,,0.0,,,,
"<handle replaced> Greetings wanted to know Your availability for July 11 Oakland ,Ca Bro Ron Muhammad 510 9276709 mr_muhammad510<handle replaced>",question_2,,,,,0.0,
<handle replaced> Happy Birthday  🎉🎂 darling girl 💃😍 #AthulyaRavi  #Athulya  #birthdayGIRL,question_2,,,0.0,,,1.0
<handle replaced> Happy birthday coach,question_2,,,,,,0.0
<handle replaced> Happye Birthday  Like / Retweet / Replay  Kuch to kar do...,question_2,0.0,,1.0,,,
<handle replaced> Hello mem how are you #JacquelineFernandez,question_2,,,,,0.0,
"<handle replaced> Highly inspired by your game, wish you all the luck for further challenges !!!  Koshish karne walo ki kabhi haar nahi hoti  !!! 🇮🇳🇮🇳💪",question_2,,,,,0.0,
<handle replaced> I come from a normal family I want you to know that you are with them now they are alone why what is happening with them is wrong. 🙏😔 😔🙏 What I'm talking about is being a Rhea chakraborty Because you are her special friend...#JusticeForRheaonly.🙏😌😌,question_2,,,,0.0,,
<handle replaced> Jai hind.  We support CAA.  All the Muslims who are staying illegally in India should go back.,question_2,,,,,,1.0
"<handle replaced> Just saw few clips of u fighting with <handle replaced>in biggboss. I have to tell u something u r shameless woman,no self respect, no manners, illiterate woman.  Sorry to mention u r a pig. Never show ur dirty face to me",question_2,,,,,,1.0
<handle replaced> Just saw few clips of ur biggboss season. U r such a shame less creature. Worthless woman with no manners. U r a stigma to society. Better change planet. U dont belong to earth. <handle replaced><handle replaced>,question_2,,,,0.0,,
<handle replaced> Love u mam  Bus aesa he,question_2,,0.0,,,,
<handle replaced> Mam agar ek dolphin India laa skte ho to le aao..   Just kidding..  🤣🤣🤣🤣🤣🤣,question_2,1.0,,,,,1.0
"<handle replaced> Muslims are still dreaming about Gajwa Hind, otherwise Muslim Boys would not have the mentality to trap Hindu Girls by Masking/Garbing  as Christian, Hindu Boys making friendship and propose freewheeling Hindu Girls. You liberals are idots.",question_2,,,,,,1.0
<handle replaced> Performance for #Aranmanai3  Just wowwwww 🤗🤗 U steal the Show ❤️,question_2,,,,0.0,,
<handle replaced> Please Please do some live interaction with your fans on Twitter. After having lockdown you haven't come live on Twitter. I am waiting for when you come live on Twitter. Please upload your live concert Videos on Youtube which are so energetic and beautiful.,question_2,,0.0,,,,
<handle replaced> Please get out from Bigg boss.. Ciby doing great jop..why u support wrong person Akshara..akshara is stupid player😡I think Akshara brother give you money 😤do u think u are real rajamatha😏 please get out from Bigg boss <handle replaced>,question_2,,0.0,,,,
"<handle replaced> Please help me, sir, m a helpless sister asking for help to complete the brother studies I attached all the proof that you need to check with, I need to submit his annual fees, my brother is so stressed, m afraid to see that please help me sir",question_2,,,0.0,,,
<handle replaced> Shame on you also Antinationalist.   <handle replaced><handle replaced> <handle replaced><handle replaced> <handle replaced><handle replaced> <handle replaced><handle replaced>,question_2,1.0,,0.0,,,
"<handle replaced> Tax you pay is on the big money you make - you don’t do India any favors! Tax’s not sought for blabbering your trap like mouth, which should have been shut up by now. Continue like that &amp;somebody will stuff a cucumber where your FoE is! <handle replaced>#naseeruddinShah",question_2,,,,0.0,,
<handle replaced> The cheap bitch......,question_2,,,1.0,,,
<handle replaced> WISH U A VERY HAPPY BIRTHDAY! HAVE A GREAT ONE! :-),question_2,,,,,0.0,
<handle replaced> Was he so unlovable that he had to die?  just tell me but Why? Did you not even once feel his pain?  Khairiyat pucho kabhi toh... #JusticeForSushantSinghRajput  #Justice4SSR,question_2,,,,,1.0,
<handle replaced> What a casteist bitch. Shame on you #YuvikaChoudhary #YuvikaChoudharycasteist #apologizeyuvika,question_2,,,1.0,,,
<handle replaced> When you will marry?,question_2,,,,,1.0,1.0
"<handle replaced> You are my favorite actress... but I am disappointed, without reading CAA you opposed... the protest which are being done are baseless and emerge due to false rumour created by some of the goons... damaging public property on the sake of public life is not protest",question_2,,,1.0,,,
<handle replaced> You smart Tailented girl,question_2,,,,0.0,,
<handle replaced> You tweeted <handle replaced>as Canadian Kumar. But he is not a person who resigned to his position &amp;  left the country for the defeat of his favored party &amp; who doesn't Votes in General Elections of India like you.,question_2,,0.0,,,,
<handle replaced> about wildcards “Mere liye wrong hoga unn logo ki abhi judge karna”  Ek hi dil h kitni baar jeetogi Shetty yaar.. A fine fine human being she is   REIGNING QUEEN SHAMITA,question_2,,,,0.0,,
<handle replaced> ary you moslim,question_2,1.0,NL,,,,1.0
<handle replaced> did u read or watch his public RV interviews how bad mouths n abuses diff communities... shame/pity u guys support this snake,question_2,,,,,0.0,
<handle replaced> fuckable is an understatement for how sexy and surreal she looked in #MahaSamudram,question_2,,,,1.0,,
<handle replaced> hapiee birthday akka..❤,question_2,,,,0.0,,
<handle replaced> happy Dasara dear. Where is Dasara festival gift and chicken leg piece,question_2,,0.0,,,,0.0
"<handle replaced> hello mam , I have portraits of Deepika mam and I wanted to give those frames to her so pls help me out to contact  with her through any mode I hope you will help me",question_2,,,,,,0.0
<handle replaced> hi oviya I'm sex with u ok,question_2,,,,1.0,,
"<handle replaced> hume pata hai tereko lagne laga hai ki life me sabkuch temporary  hai. But we are permanent fam here to support you bubba.  Keep fighting, keep smiling ,keep moving forward without any hegitation.  FOREVER WITH SHEHNAAZ",question_2,,,,,0.0,
"<handle replaced> i was waiting for this episode, so could see you praising asim, geez pathetic colorstv edited the whole thing, <handle replaced>you guys are disgusting! Please cut off paras and mahiras parts, because we dont turn on our tvs to watch their fake chemistry. #LoneWarriorAsim",question_2,,,,,0.0,
<handle replaced> is such a  bitch !! How the fuck does she have to audacity to reveal the names ?? First lying about his bail and now this !! Stooping so low just to defend her so called innocent friend 😑 BLOODY LIARS AND DISGUSTING FOOLS !!  ,question_2,,,,,1.0,
<handle replaced> link: ,question_2,0.0,,,,,0.0
<handle replaced> ninnu theesethe ne show chustham....,question_2,,,0.0,,,
<handle replaced> shame on u deepika #BoycottBollywood  #biycottdeepika,question_2,,1.0,,,,
<handle replaced> tell your moron friend or buddy it’s not her relatives it’s her loves from another world - enomo tanga mategalame you want my address ?? Am<handle replaced>,question_2,,,,,1.0,
"<handle replaced> this idiot lady ,flop actress calling Sid jerk,<handle replaced>sorry being #SidHearts we are boycotting ur f<handle replaced>show ,a woman having Zero talent, failed as an actor 0 fan following",question_2,,,,,1.0,
<handle replaced> u bad bitch,question_2,,,1.0,,,
<handle replaced> u look so beuatifull,question_2,,,,,,1.0
<handle replaced> u r the worst woman on the earth,question_2,,1.0,,,,
<handle replaced> waiting for your comeback  Vani 😊.,question_2,,0.0,,,,
<handle replaced> wanna talk to  u for 5 mins wit u r beautiful accent... ummmhhh coz me too,question_2,,,,,,1.0
<handle replaced> we need another lady CM to accompany <handle replaced>so be ready to lead UP as CM research shows these sanghis can't stand infront of women 😊   <handle replaced><handle replaced><handle replaced>,question_2,,,,0.0,,
"<handle replaced>""Cricket is a batsman's game.""    !⃝     𝗧𝗵𝗶𝘀 𝗰𝗹𝗮𝗶𝗺 𝗶𝘀 𝗱𝗶𝘀𝗽𝘂𝘁𝗲𝗱",question_2,,,,,,0.0
"<handle replaced>""Dirty arabs"". Not all arabs are muslims. Its mindboggling that when muslims are attacked they are ""muslims"" who were attacked over religion. But when muslims attack non muslims shouting ""allahu akbar""  its ""not about religion"" or Islam. Wah bhai wah!",question_2,,0.0,,,,
"<handle replaced>""For now, only the fear of public shaming seems to work."" - Yes, even men has to make false allegations of women. Yes, public shaming of ""such"" women is required coz only ""such"" women will make false allegations !",question_2,,,,,1.0,
"<handle replaced>""Gcchhh!!~♡♡ I'll do aaanything for my darling, even it means selling myself, I'll do aaanything for my darlings forgiveness!!~♡♡ Please forgive this stupid whore!!~♡♡""  She was really liking. So much, she pulls her chest out so she could expose them. She was really horny.",question_2,,,1.0,,,
"<handle replaced>""I told this reactionary group of scumbags that, not only are they scumbags, but that they represent the entire hobby, wow, they reacted!""",question_2,,,0.0,,,
"<handle replaced>""Looming s**t""- She knows what's coming🤣 4 her!",question_2,,,,,,1.0
"<handle replaced>""khela hobe"" Banerjee? What would you preach to her?",question_2,,,0.0,,,
<handle replaced># go to hell,question_2,,,,,,1.0
"<handle replaced>#2 was a breeze for me, #1 was the bitch.",question_2,,,,,0.0,
"<handle replaced>#2: I'm sure that all you and your girlfriends are just dying to get in there and lift some heavy weights before the tournament. lol.   You're literally just looking for things to bitch about, instead of enjoying the time there. You must be really fun at parties.",question_2,,,,0.0,,
<handle replaced>#Arnab has his name written on #SuicideNote n he is not a murderer but #RheaChakraborty is murderer without any sucide note cox she is a #Woman #SSR is still in depression as ppl are still mocking his death <handle replaced><handle replaced>,question_2,,,0.0,,,
<handle replaced>#AryaanKhan half mother not seen in hearing? Bribery charges have made her go underground? <handle replaced>scared she will face legal action? <handle replaced>#AryanKhanDrugCase <handle replaced>,question_2,,1.0,,,,
<handle replaced>#Beast update..,question_2,,,,0.0,,
<handle replaced>#BloodBones&amp;Butter :),question_2,,0.0,NL,0.0,0.0,
<handle replaced>#BlowingSmoke #CriminalsLovingCriminals How #Radical are these #Racist #Greedy #ScumBags?,question_2,,,0.0,,,
<handle replaced>#CAB dosent apply to Indians ....par #pidis ko facts se Kya Lena Dena .... shameless hypocrites still cheerleading for violence!!,question_2,,,,,1.0,
<handle replaced>#EscapeFromUganda Official Trailer...   Looks interesting !!!!! November Release,question_2,,0.0,,,,
<handle replaced>#FarahKhan cracked few jokes today😂 👇👇   1 - #EijazKhan doesn't play victim card.  2- Eijaz has more patience than others in house.   3- Eijaz never bitches about anyone.  4-  Audiences are liking Eijaz.  (Which audience?😱)   I request you guys to NOT LAUGH 😌🙏,question_2,,0.0,,,,
<handle replaced>#Feminists hate everything and anything  #FeminismIsCancer,question_2,,,1.0,,,
"<handle replaced>#Godse saved innocent Hindu, may be he is termed as murderer and punished But His Sacrifice will always be remember",question_2,,,,,,1.0
<handle replaced>#ISIS #Catholic Christian version.  Imagine a #Muslim say what the #PopeFrancis said !!! What a hypocrite world media.,question_2,,,0.0,,,
<handle replaced>#India is dangerous place for women   #DANGER,question_2,0.0,,0.0,,,
<handle replaced>#IrfanHabib terrorist,question_2,,0.0,,,,
<handle replaced>#JNU is in Terminal Stage! Kaul tells me u r KP Learn before u shoot. Read Ch 1   very carefully. This is anti-JNU School! <handle replaced><handle replaced><handle replaced><handle replaced><handle replaced>,question_2,,,,,,0.0
<handle replaced>#JhalleTrailer Totally different concept ❤️ Complete entertaining Trailer ❤️ You are nailing that role ❤️ Sargun &amp; Binnu gonna rock hit &amp;  make it super duper hit ❤️ Must watch movie ❤️ Guys shower your love n blessings to our Queen ❤️ Worldwide releasing on 15th November ❤️,question_2,,,0.0,,,
"<handle replaced>#PaidTweet? paid for by Ambdanis'#DirtyMoney, to get their #ManchurianCandidate Selected, &amp; they can then Loot India together:#Demon, HUGE LoansWrite-offs; Public Lands,#Forests,#PSUs at peanuts...! Others paid? <handle replaced><handle replaced><handle replaced><handle replaced>#GoBackModi",question_2,,,0.0,,,
"<handle replaced>#RheaChakraborty is a BIG PAWN. A WITCH planted by tharki <handle replaced>in life of #SushantSinghRajput to LOOT, CHEAT, DEFRAUD, DESTROY &amp; KILL him. Sushant's bank statements are mindblowing! Family of PARASITES. Black magic, wrong medications, controlling.. #ArrestRheaChakraborty",question_2,,,1.0,,,
<handle replaced>#Smitacare we are conducting blood camps from Starting tomorrow in rural areas.,question_2,,,,,0.0,
<handle replaced>#Swati mam 1st of all u must polish your knowledge. You don't even know how to address to a general who holds so respectable &amp; important office. As per his superiority &amp; protocol you r no where. you called a general just by his name that to half name.,question_2,,,,0.0,,
"<handle replaced>#Uyare Brilliant movie 🍿 just now watched on #Netflix !! Everything in the movie was just brilliant &amp; perfect, Your acting was ToO gOod !!😍 This is the first movie that I have watched Malayalam !!",question_2,,,0.0,,,
<handle replaced>#bb13 should be named bbb13 biased bigg boss 🙈🙉🙊&amp; Salmaan you are also 🙈🙉🙊.,question_2,,0.0,,,,
"<handle replaced>#happybirthday girl. God bless you with happiness always and good health always. Many more to come. BTW, when is your new movie song coming?",question_2,,,,,,1.0
<handle replaced>#poonamkaur shame on you that you want to meet Terrorist Prime Minister of Terror Pakistan Imran Khan......u r an anti national,question_2,,,0.0,,,
<handle replaced>#rudram Will miss vibrantly paced thriller aftr wrapng-up nerve biting70wks of pounding adrenaline drama with stellar perfomncs!,question_2,,,,,0.0,
"<handle replaced>#womenaretrash , she’s wicked",question_2,,,1.0,,,
<handle replaced>#womenaretrash another just killed her baby by throwing her against the ground,question_2,,1.0,,1.0,,
"<handle replaced>#womenaretrash. oh but don't worry, not every woman",question_2,,,,,1.0,
"<handle replaced>&amp; #AnkitaLokhande May you both cry &amp; never be heard!! Om nama shivay!! A simple prayer for you both from every Ssrains!! Every minute every bit,We ask the power to get you what you did!! May Jesus hear us tonight!!  SUSHANT JUSTICE MATTERS",question_2,,,,,1.0,
<handle replaced>&amp; latest is 2 brothers rape Sister in Bihar #pissfull,question_2,,,,0.0,,
"<handle replaced>' jaya'(जय) means victory , OK . You people are so communal, poisoned minded and Orthodox  that you cannot accept to speak victory of motherland!  Does speaking   Bharat mata ki Jay'  means worship of any god goddess? Why do you instigate poor innocent Muslims to such an extent?",question_2,,,,,1.0,
"<handle replaced>'America is a secular country' lmfao, good joke bro. You're run by Dominionists but sure, okay.",question_2,,0.0,,,,
"<handle replaced>*And with that, they arrived at the Pizza Thot. Boss parked her car and would take Sean out as she held his hand on the way*  “Trust me, there is a lot of cock hungry bitches in this job. So you remember where your gonna stay?”",question_2,,,,1.0,,
<handle replaced>*if they manage to not kill themselves.,question_2,,0.0,,,,
<handle replaced>*starts fingering my asshole to the thought of u treating me like a dirty whore*,question_2,,,,0.0,,
"<handle replaced>*the master then let her lose and she feel down to the floor panting like a worthless wild animal*  “Well whore get humping, or I won’t use you as you wanted me to”",question_2,,,1.0,,,
<handle replaced>+ adin made + only fans made + bitch made + ratio,question_2,,0.0,,,,
"<handle replaced>, please call up 2024 election. Don't, do any fucking works.  #nounethicalvaccine",question_2,,,,,0.0,
"<handle replaced>, you come to me , I will give in your mouth",question_2,,0.0,,,,
"<handle replaced>,<handle replaced>,<handle replaced>,<handle replaced>,<handle replaced>,<handle replaced>,<handle replaced> Well done Raveena, don't care of trolls, these intolerant leftists r found only in India , u will see only anarchy if they r not checked with iron hand or development will suffer",question_2,,,,0.0,,
"<handle replaced>,<handle replaced>r d real #gutters planning plotting against others to destroy der team <handle replaced><handle replaced><handle replaced>V do not want to watch such idiots pathetic ppl,useless arguments,azim just provokes ,they know without Sid d cant reach till finale #BB13",question_2,,,,,,0.0
<handle replaced>- Indeed #CrueltyFreeChristmas! Nuns &amp; Children are not safe even in the house of their own God!  Stop Conversions Save nuns from being raped (By Church Authorities) Stop protecting rapist like #BishopFranco Stop Catholic Child Abuse (By Church Authorities) <handle replaced>,question_2,,0.0,,,,0.0
<handle replaced>- and they make me really sick … bc like typical yt women they just start crying … like you bitches need therapy bc wtf. erica was my fave … but all these rich hoes got some kinda scam going on down to dorit and pk.,question_2,,,,,1.0,
<handle replaced>- bitches,question_2,,0.0,,,,
"<handle replaced>- such a jackass M he is naa. Just not understanding a common Human's status. Paid Bhakt, damn.",question_2,,,,,0.0,
<handle replaced>...but all superheroes can't be woman ! More power to u <handle replaced>,question_2,,,0.0,,,
"<handle replaced>..and I hope by then, the unstained mirrors are not broken <handle replaced>😏",question_2,,,,0.0,,
<handle replaced>..u better to leave India..#####****off,question_2,,,,,,1.0
"<handle replaced>..u go crying for death of theives &amp; smugglers like Aakhlak, Tabrez,,,,but not a single word on Hindu Sandhu lynching in Palghar!!!!! Why??? U will speak only when Muslims killed &amp; will remain mum if Hindus killed 🤔😢",question_2,,,0.0,,,
<handle replaced>1. How tyrants come to power don't matter - Mao remade the system to suit him. Modi alone doesn't have any skill to stay in power forever but Powerful interests are aiding his party to evolve perfectly 4 it. 2. I'm on the same page as you w.r.t factors that led to this state.,question_2,,,,,,0.0
"<handle replaced>10 peace lover Muslim got Arrested by NIA madam , please Tweet about their Muslim Rights . Atrocities on Muslim by NIA to not give their Right blast bomb and kill Kafir",question_2,,,1.0,,,
